Title,Date,title_nostop,title_stemmed,sentiment_score
"['stenrig', 'fond', 'uddeler', 'over', 'ni', 'milliarder', 'kroner', 'i', 'år', 'en', 'milliard', 'går', 'til', 'at', 'revolutionere', 'behandlingen', 'af', 'overvægt', 'og', 'diabetes']",2023-04-25,"['stenrig', 'fond', 'uddeler', 'ni', 'milliarder', 'kroner', 'år', 'milliard', 'går', 'revolutionere', 'behandlingen', 'overvægt', 'diabetes']","['stenr', 'fond', 'uddel', 'ni', 'milliard', 'kron', 'år', 'milliard', 'går', 'revolution', 'behandling', 'overvæg', 'diabet']",-1.0
"['novo', 'nordisk', 'erkender', 'ansvar', 'vil', 'samarbejde', 'med', 'organisationer', 'der', 'arbejder', 'med', 'spiseforstyrrelser']",2023-04-24,"['novo', 'nordisk', 'erkender', 'ansvar', 'samarbejde', 'organisationer', 'arbejder', 'spiseforstyrrelser']","['novo', 'nordisk', 'erkend', 'ansvar', 'samarbejd', 'organisation', 'arbejd', 'spiseforstyr']",0.0
"['britisk', 'læge', 'udskriver', 'dyr', 'slankemedicin', 'trods', 'forhistorie', 'med', 'spiseforstyrrelse', 'ingen', 'kan', 'tilsyneladende', 'gribe', 'ind']",2023-04-24,"['britisk', 'læge', 'udskriver', 'dyr', 'slankemedicin', 'trods', 'forhistorie', 'spiseforstyrrelse', 'ingen', 'kan', 'tilsyneladende', 'gribe']","['britisk', 'læg', 'udskriv', 'dyr', 'slankemedicin', 'trod', 'forhistori', 'spiseforstyr', 'ing', 'kan', 'tilsynelad', 'grib']",0.0
"['novo', 'nordiskkonkurrent', 'vil', 'sammenligne', 'fedmemidler', 'i', 'nyt', 'studie']",2023-04-24,"['novo', 'nordiskkonkurrent', 'sammenligne', 'fedmemidler', 'nyt', 'studie']","['novo', 'nordiskkonkurrent', 'sammenlign', 'fedmemidl', 'nyt', 'studi']",0.0
"['jeg', 'er', 'normalvægtig', 'og', 'har', 'tidligere', 'haft', 'en', 'spiseforstyrrelse', 'alligevel', 'fik', 'jeg', 'ordineret', 'dyr', 'slankemedicin']",2023-04-24,"['normalvægtig', 'tidligere', 'haft', 'spiseforstyrrelse', 'alligevel', 'fik', 'ordineret', 'dyr', 'slankemedicin']","['normalvæg', 'tid', 'haft', 'spiseforstyr', 'alligevel', 'fik', 'ordin', 'dyr', 'slankemedicin']",2.0
"['giv', 'offentligt', 'tilskud', 'til', 'slankemedicin']",2023-04-20,"['giv', 'offentligt', 'tilskud', 'slankemedicin']","['giv', 'offent', 'tilskud', 'slankemedicin']",1.0
"['novo', 'nordisk', 'kunstig', 'intelligens', 'vil', 'revolutionere', 'fremtidens', 'medicinskab']",2023-04-20,"['novo', 'nordisk', 'kunstig', 'intelligens', 'revolutionere', 'fremtidens', 'medicinskab']","['novo', 'nordisk', 'kunst', 'intel', 'revolution', 'fremtid', 'medicinskab']",0.0
"['lego', 'og', 'novo', 'nordisk', 'i', 'banebrydende', 'samarbejde', 'med', 'energikæmpe', 'om', 'grøn', 'plastik']",2023-04-19,"['lego', 'novo', 'nordisk', 'banebrydende', 'samarbejde', 'energikæmpe', 'grøn', 'plastik']","['lego', 'novo', 'nordisk', 'banebryd', 'samarbejd', 'energikæmp', 'grøn', 'plastik']",0.0
"['novos', 'nye', 'fedmemiddel', 'er', 'en', 'storsællert', 'men', 'brugere', 'oplever', 'uventet', 'bivirkning']",2023-04-19,"['novos', 'nye', 'fedmemiddel', 'storsællert', 'brugere', 'oplever', 'uventet', 'bivirkning']","['novo', 'nye', 'fedmemiddel', 'storsællert', 'brug', 'oplev', 'uvent', 'bivirkning']",-2.0
"['danske', 'forskere', 'kæder', 'udskældte', 'stoffer', 'sammen', 'med', 'risikoen', 'for', 'at', 'tage', 'på', 'igen', 'efter', 'vægttab']",2023-04-19,"['danske', 'forskere', 'kæder', 'udskældte', 'stoffer', 'sammen', 'risikoen', 'tage', 'igen', 'vægttab']","['dansk', 'forsk', 'kæd', 'udskæld', 'stof', 'sam', 'risiko', 'tag', 'igen', 'vægttab']",-2.0
